Metadata_gene_name,Metadata_cell_line,correlation,replicate_type,quantile,iterations,cor_method,samples,groups
AKT1,HCC44,0.21208323448458025,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,HCC44,0.17505882632412784,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,HCC44,0.38112937863095675,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,HCC44,0.5819029029587119,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,HCC44,0.1425881139848681,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,HCC44,0.22855352726734174,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,HCC44,0.0448412188777204,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,HCC44,-0.2961510934393033,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,HCC44,0.21713511326716659,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,HCC44,0.3127884063735291,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,HCC44,0.7146402416481719,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,HCC44,0.3032767269584444,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,HCC44,0.7527540088035405,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,HCC44,0.8105612368257789,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK4,HCC44,0.46524030731836075,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CHEK2,HCC44,0.10031089136320658,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
COX5B,HCC44,0.231816045390478,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CSNK1A1,HCC44,0.3514775449043045,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CTNNB1,HCC44,-0.04605140924637052,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Chr2,HCC44,0.2788193914251422,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
DOT1L,HCC44,0.28862424406508486,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGFR,HCC44,0.03051895748412744,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGLN1,HCC44,0.7382308250269678,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EMPTY,HCC44,-0.010194854655662142,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB2,HCC44,0.03726995920463694,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB3,HCC44,0.23640968080523628,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EZH2,HCC44,0.4556804292883529,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GLS,HCC44,0.4386016517206244,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GPX4,HCC44,0.4376580706091344,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
HIF1a,HCC44,-0.11300772510059656,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ITGAV,HCC44,0.9553549436919895,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
JAK3,HCC44,-0.10199755039532046,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KIF11,HCC44,0.8714647094180381,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KRAS,HCC44,0.4629427210425197,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
LacZ,HCC44,0.12446642208044897,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Luc,HCC44,0.20816287082515317,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MAPK1,HCC44,0.050176652950550876,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MCL1,HCC44,0.11038008623690375,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MTOR,HCC44,0.2982056574877615,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MYC,HCC44,0.9503649027884895,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ORC4,HCC44,0.2076130923770088,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PIK3CA,HCC44,0.28374519274836485,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
POLR2D,HCC44,0.944093920513236,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PPIB,HCC44,0.10809799392116407,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PRDX1,HCC44,-0.10627329840027547,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PSMA1,HCC44,0.8866363837445469,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PTK2,HCC44,0.754219306230832,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAC1,HCC44,0.23490832075453247,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAF1,HCC44,0.3745928074415163,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RHOA,HCC44,0.6577213377021878,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SDHB,HCC44,0.5322940549853217,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A1,HCC44,0.2784534143240392,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A2,HCC44,0.4776241296488314,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SMARCB1,HCC44,0.12745292462761051,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
STAT3,HCC44,0.2277586473155151,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SUZ12,HCC44,0.6539974091792664,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
TXN,HCC44,0.271458440768494,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
XBP,HCC44,0.1937117944164485,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
YAP1,HCC44,0.037929503815388156,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AKT1,HCC44,0.1936638759366514,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,HCC44,0.43539846293438733,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,HCC44,0.22281961532813155,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,HCC44,0.5594890767244352,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,HCC44,0.5675201653206352,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,HCC44,0.28293072936334823,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,HCC44,0.4490284853994667,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,HCC44,0.6541203819091506,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,HCC44,0.49897548996133406,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,HCC44,0.3348833605209096,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,HCC44,0.4329551624792661,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,HCC44,0.4644548387410336,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,HCC44,0.3124775278154789,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,HCC44,0.38625730276277537,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK4,HCC44,0.21561557328910244,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CHEK2,HCC44,0.3943776492654172,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
COX5B,HCC44,0.32151943729391474,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CSNK1A1,HCC44,0.4635242619482611,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CTNNB1,HCC44,0.44590832970286215,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Chr2,HCC44,0.14505143682860638,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
DOT1L,HCC44,0.4820863656839441,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGFR,HCC44,0.4829330092876253,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGLN1,HCC44,0.39758930867965503,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EMPTY,HCC44,0.15289155538941374,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB2,HCC44,0.23383616437829244,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB3,HCC44,0.42862852943663465,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EZH2,HCC44,0.46432781408155693,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GLS,HCC44,0.20494216245371466,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GPX4,HCC44,0.24275405659745639,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
HIF1a,HCC44,0.349346342434654,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ITGAV,HCC44,0.1650186700571853,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
JAK3,HCC44,0.35832558916652674,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KIF11,HCC44,0.5144449923455583,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KRAS,HCC44,0.4109375627227748,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
LacZ,HCC44,0.3333308505158592,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Luc,HCC44,0.36997073917700557,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MAPK1,HCC44,0.4058305930757934,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
