Metadata_gene_name,Metadata_cell_line,correlation,replicate_type,quantile,iterations,cor_method,samples,groups
AKT1,HCC44,0.3402701740630446,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,HCC44,0.2169565245068903,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,HCC44,0.21261082943378218,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,HCC44,0.3296075076644639,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,HCC44,0.4062877308474743,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,HCC44,0.1334142386667485,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,HCC44,0.15000026880251333,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,HCC44,0.2518373238154727,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,HCC44,0.07115748197289959,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,HCC44,-0.031445085949058905,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,HCC44,0.700732571394972,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,HCC44,0.26601542932097394,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,HCC44,0.6941530905831168,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,HCC44,0.8155046431913622,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK4,HCC44,0.11907682204950512,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CHEK2,HCC44,0.06501981156691221,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
COX5B,HCC44,0.1573777758187255,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CSNK1A1,HCC44,0.4084482036709666,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CTNNB1,HCC44,0.024936053659814342,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Chr2,HCC44,0.1511108812940638,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
DOT1L,HCC44,0.20251775125876498,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGFR,HCC44,0.1315272244592843,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGLN1,HCC44,0.603944095772839,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EMPTY,HCC44,-0.012085138010795981,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB2,HCC44,0.10914679819315204,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB3,HCC44,-0.04800335251822828,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EZH2,HCC44,0.1705204914696373,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GLS,HCC44,0.3282602086411301,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GPX4,HCC44,0.06681580123280147,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
HIF1a,HCC44,-0.06579108503365987,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ITGAV,HCC44,0.9189813821225947,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
JAK3,HCC44,0.04761960318930437,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KIF11,HCC44,0.8984814928585466,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
KRAS,HCC44,0.4724424077690358,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
LacZ,HCC44,0.06146438840445878,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Luc,HCC44,0.24261150034500426,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MAPK1,HCC44,-0.007085104007270363,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MCL1,HCC44,0.16450843934626136,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MTOR,HCC44,0.6079623846316489,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MYC,HCC44,0.9553687846787825,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ORC4,HCC44,0.16263466261299442,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PIK3CA,HCC44,0.3832736982771954,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
POLR2D,HCC44,0.9578783616939446,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PPIB,HCC44,0.08489809036778648,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PRDX1,HCC44,-0.005477919212600969,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PSMA1,HCC44,0.9220962146077276,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PTK2,HCC44,0.6293597088398954,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAC1,HCC44,0.3482048439856704,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAF1,HCC44,0.18284871605075365,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RHOA,HCC44,0.7378824996291269,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SDHB,HCC44,0.3583495211848906,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A1,HCC44,0.4416984171080361,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A2,HCC44,0.024291312262187927,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SMARCB1,HCC44,0.1199008408684416,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
STAT3,HCC44,0.3702082908348383,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SUZ12,HCC44,0.48459526520896745,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
TXN,HCC44,0.28593704565324873,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
XBP,HCC44,0.1424544353912479,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
YAP1,HCC44,-0.059831797413424176,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AKT1,HCC44,0.22719448074570286,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,HCC44,0.6499052514049063,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,HCC44,0.31480418347023015,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,HCC44,0.33071741409436334,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,HCC44,0.4776973150418905,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,HCC44,0.38652868813711216,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,HCC44,0.23534197600898532,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,HCC44,0.814265487451926,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,HCC44,0.7129134786423867,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,HCC44,0.44736268526926115,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,HCC44,0.42858668480804235,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,HCC44,0.3651067148761193,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,HCC44,0.18998485248475605,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,HCC44,0.24838553912849273,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
